0			  0.0
1                         0.14
2                         0.27
4                         0.54
8                         1.06
16                        2.15
32                        4.23
64                        8.33
128                      17.10
256                      33.07
512                      62.21
1024                     83.78
2048                    101.80
4096                    109.68
8192                    113.73
16384                   115.55
32768                   116.54
65536                   117.10
131072                  116.62
262144                  117.15
524288                  117.40
1048576                 117.53
2097152                 117.58
