23
0 31.03 0.0
1 30.37 0.14
2 29.49 0.27
4 28.90 0.54
8 29.00 1.06
16 31.89 2.15
32 37.70 4.23
64 38.32 8.33
128 35.74 17.10
256 36.90 33.07
512 42.53 62.21
1024 65.19 83.78
2048 77.98 101.80
4096 100.23 109.68
8192 154.51 113.73
16384 251.08 115.55
32768 388.24 116.54
65536 669.77 117.10
131072 1294.74 116.62
262144 2416.87 117.15
524288 4629.04 117.40
1048576 9101.91 117.53
2097152 18004.31 117.58
